产品名称(必填),产品类型(必填),产品类别(必填),设备名称(必填),设备地址(必填),设备功能类型(必填),标识符(必填),功能名称(必填),寄存器地址(必填),字节长度(必填),读写类型(必填),值范围（RW信号必填）,信号单位(必填),数据类型(必填),功能码(必填),数据格式(必填),比例系数（非必填）,告警级别（非必填）
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101027,电池电压27#,53,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101028,电池电压28#,55,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101029,电池电压29#,57,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101030,电池电压30#,59,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101031,电池电压31#,61,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101032,电池电压32#,63,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101033,电池电压33#,65,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101034,电池电压34#,67,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101035,电池电压35#,69,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101036,电池电压36#,71,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101037,电池电压37#,73,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101038,电池电压38#,75,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101039,电池电压39#,77,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101040,电池电压40#,79,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101041,电池电压41#,81,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101042,电池电压42#,83,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101043,电池电压43#,85,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101044,电池电压44#,87,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101045,电池电压45#,89,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101046,电池电压46#,91,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101047,电池电压47#,93,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101048,电池电压48#,95,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101049,电池电压49#,97,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101050,电池电压50#,99,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101051,电池电压51#,101,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101052,电池电压52#,103,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101053,电池电压53#,105,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101054,电池电压54#,107,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101055,电池电压55#,109,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101056,电池电压56#,111,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101057,电池电压57#,113,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101058,电池电压58#,115,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101059,电池电压59#,117,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101060,电池电压60#,119,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101061,电池电压61#,121,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101062,电池电压62#,123,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101063,电池电压63#,125,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池电压,D6101064,电池电压64#,127,4,只读,0-65535,V,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101065,电池极柱温度1#,129,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101066,电池极柱温度2#,131,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101067,电池极柱温度3#,133,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101068,电池极柱温度4#,135,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101069,电池极柱温度5#,137,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101070,电池极柱温度6#,139,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101071,电池极柱温度7#,141,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101072,电池极柱温度8#,143,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101073,电池极柱温度9#,145,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101074,电池极柱温度10#,147,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101075,电池极柱温度11#,149,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101076,电池极柱温度12#,151,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101077,电池极柱温度13#,153,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101078,电池极柱温度14#,155,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101079,电池极柱温度15#,157,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101080,电池极柱温度16#,159,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101081,电池极柱温度17#,161,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101082,电池极柱温度18#,163,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101083,电池极柱温度19#,165,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101084,电池极柱温度20#,167,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101085,电池极柱温度21#,169,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101086,电池极柱温度22#,171,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101087,电池极柱温度23#,173,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101088,电池极柱温度24#,175,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101089,电池极柱温度25#,177,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101090,电池极柱温度26#,179,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101091,电池极柱温度27#,181,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101092,电池极柱温度28#,183,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101093,电池极柱温度29#,185,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101094,电池极柱温度30#,187,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101095,电池极柱温度31#,189,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101096,电池极柱温度32#,191,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101097,电池极柱温度33#,193,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101098,电池极柱温度34#,195,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101099,电池极柱温度35#,197,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101100,电池极柱温度36#,199,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101101,电池极柱温度37#,201,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101102,电池极柱温度38#,203,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101103,电池极柱温度39#,205,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101104,电池极柱温度40#,207,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101105,电池极柱温度41#,209,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101106,电池极柱温度42#,211,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101107,电池极柱温度43#,213,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101108,电池极柱温度44#,215,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101109,电池极柱温度45#,217,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101110,电池极柱温度46#,219,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101111,电池极柱温度47#,221,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101112,电池极柱温度48#,223,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101113,电池极柱温度49#,225,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101114,电池极柱温度50#,227,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101115,电池极柱温度51#,229,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101116,电池极柱温度52#,231,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101117,电池极柱温度53#,233,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101118,电池极柱温度54#,235,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101119,电池极柱温度55#,237,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101120,电池极柱温度56#,239,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101121,电池极柱温度57#,241,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101122,电池极柱温度58#,243,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101123,电池极柱温度59#,245,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101124,电池极柱温度60#,247,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101125,电池极柱温度61#,249,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101126,电池极柱温度62#,251,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101127,电池极柱温度63#,253,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池极柱温度,D6101128,电池极柱温度64#,255,4,只读,0-65535,℃,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101129,电池内阻1#,257,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101130,电池内阻2#,259,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101131,电池内阻3#,261,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101132,电池内阻4#,263,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101133,电池内阻5#,265,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101134,电池内阻6#,267,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101135,电池内阻7#,269,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101136,电池内阻8#,271,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101137,电池内阻9#,273,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101138,电池内阻10#,275,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101139,电池内阻11#,277,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101140,电池内阻12#,279,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101141,电池内阻13#,281,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101142,电池内阻14#,283,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101143,电池内阻15#,285,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101144,电池内阻16#,287,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101145,电池内阻17#,289,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101146,电池内阻18#,291,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101147,电池内阻19#,293,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101148,电池内阻20#,295,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101149,电池内阻21#,297,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101150,电池内阻22#,299,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101151,电池内阻23#,301,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101152,电池内阻24#,303,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101153,电池内阻25#,305,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101154,电池内阻26#,307,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101155,电池内阻27#,309,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101156,电池内阻28#,311,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101157,电池内阻29#,313,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101158,电池内阻30#,315,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101159,电池内阻31#,317,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101160,电池内阻32#,319,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101161,电池内阻33#,321,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101162,电池内阻34#,323,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101163,电池内阻35#,325,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101164,电池内阻36#,327,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101165,电池内阻37#,329,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101166,电池内阻38#,331,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101167,电池内阻39#,333,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
电池组,弱电动环,智慧场馆,电池组一,D6101,电池内阻,D6101168,电池内阻40#,335,4,只读,0-65535,μΩ,FLOAT,03,float32_CDAB,1,1
